time,L_IMU,R_IMU,L_Torque_d,L_Torque,L_AngPos,R_Torque_d,R_Torque,R_AngPos
0.01420283317565918,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04
0.03347897529602051,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1
0.09331679344177246,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14
0.1347038745880127,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18
0.1943340301513672,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19
0.23501110076904297,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19
0.2936429977416992,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17
0.3342299461364746,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13
0.3943061828613281,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0.08
0.43343687057495117,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01
0.4934210777282715,0.0,0.0,-0.04,0.0,-0.04,-0.04,0.0,-0.04
0.5338189601898193,0.0,0.0,-0.1,0.0,-0.1,-0.1,0.0,-0.1
0.5941839218139648,0.0,0.0,-0.14,0.0,-0.14,-0.14,0.0,-0.14
0.6344220638275146,0.0,0.0,-0.18,0.0,-0.18,-0.18,0.0,-0.18
0.6941139698028564,0.0,0.0,-0.19,0.0,-0.19,-0.19,0.0,-0.19
0.7344729900360107,0.0,0.0,-0.19,0.0,-0.19,-0.19,0.0,-0.19
0.7938330173492432,0.0,0.0,-0.17,0.0,-0.17,-0.17,0.0,-0.17
0.8335089683532715,0.0,0.0,-0.13,0.0,-0.13,-0.13,0.0,-0.13
0.894521951675415,0.0,0.0,-0.08,0.0,-0.08,-0.08,0.0,-0.08
0.9336040019989014,0.0,0.0,-0.01,0.0,-0.01,-0.01,0.0,-0.01
0.99440598487854,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04
1.0347809791564941,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1
0.040669918060302734,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14
0.07961606979370117,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.18
0.1405048370361328,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19
0.17956781387329102,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19
0.24040508270263672,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17
0.28107500076293945,0.0,0.0,0.13,0.0,0.13,0.13,0.0,0.13
